,EEG_1,EEG_2,EEG_3,EEG_5,EEG_6,EEG_7,EEG_8,EEG_9,EEG_10,GSR_4,EMOTION_1,EMOTION_2,EMOTION
73,0.9528663485083086,0.0281571701557277,0.0007928262311786027,1.5908192821018645,0.09663335522485786,0.26131132106462496,0.46250493315461494,0.7612232516159606,0.912255756661976,412.4213159272487,0.0,0.0,0.0
74,0.9482213510929657,0.025375664124778725,0.000643924329773582,1.6548893303568597,0.1230801461031731,0.234145399401834,0.43952594618112417,0.6347463376115813,0.9313663942796024,395.839520256092,0.0,0.0,0.0
75,0.9559236228516254,0.02610038984854898,0.0006812303502462386,1.6024830652404434,0.18328628034049177,0.1629850765637612,0.33792661960398396,0.5072951699666081,0.7248185243975968,522.0322296090351,0.0,0.0,0.0
76,0.9559236228516254,0.02610038984854898,0.0006812303502462386,1.6024830652404434,0.18328628034049177,0.1629850765637612,0.33792661960398396,0.5072951699666081,0.7248185243975968,522.0322296090351,0.0,0.0,0.0
77,0.8820010034668894,0.06119234169841823,0.0037445026825359746,1.1454309603334654,0.052248400686971064,0.2294131643278051,0.4255204749215128,0.5874539415585073,0.8226812327518476,265.1071040558217,0.0,0.0,0.0
78,0.8711218551205094,0.05769715507976419,0.003328961704298359,1.212768348609912,0.09761478101081057,0.1631384774006123,0.3179281069277207,0.49129375284874466,0.6575413251057309,299.84982902193576,0.0,0.0,0.0
79,0.9585078233391032,0.021103509902174494,0.000445358130191177,1.6820935578414427,0.12808916799856354,0.17669494348422032,0.35386584669615073,0.5002219355051205,0.6500076878993276,755.9911487264651,0.0,0.0,0.0
80,0.9033082978283306,0.0428897829015004,0.0018395334773378363,1.080470240739199,0.07804288978786754,0.21409423908723835,0.3947747901710028,0.6100955229560663,0.7501931274369457,412.4213159272487,0.0,0.0,0.0
81,0.9058102638926528,0.04997448181750058,0.0024974488329276966,1.082143366406042,0.07510818114437148,0.18097792206040245,0.348827959532951,0.48599558101371104,0.6931471805599453,395.839520256092,0.0,0.0,0.0
82,0.8775394537323741,0.05769651435124188,0.00332888776828306,1.1216534678590016,0.083569056306206,0.16206066935074973,0.3199713465859619,0.46543695795196294,0.6508754601981256,522.0322296090351,3.0,0.0,3.0
